#CRS: PROJCRS["NAD83 / North Carolina (ftUS)",BASEGEOGCRS["NAD83",DATUM["North American Datum 1983",ELLIPSOID["GRS 1980",6378137,298.257222101,LENGTHUNIT["metre",1]]],PRIMEM["Greenwich",0,ANGLEUNIT["degree",0.0174532925199433]],ID["EPSG",4269]],CONVERSION["SPCS83 North Carolina zone (US Survey feet)",METHOD["Lambert Conic Conformal (2SP)",ID["EPSG",9802]],PARAMETER["Latitude of false origin",33.75,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8821]],PARAMETER["Longitude of false origin",-79,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8822]],PARAMETER["Latitude of 1st standard parallel",36.1666666666667,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8823]],PARAMETER["Latitude of 2nd standard parallel",34.3333333333333,ANGLEUNIT["degree",0.0174532925199433],ID["EPSG",8824]],PARAMETER["Easting at false origin",2000000,LENGTHUNIT["US survey foot",0.304800609601219],ID["EPSG",8826]],PARAMETER["Northing at false origin",0,LENGTHUNIT["US survey foot",0.304800609601219],ID["EPSG",8827]]],CS[Cartesian,2],AXIS["easting (X)",east,ORDER[1],LENGTHUNIT["US survey foot",0.304800609601219]],AXIS["northing (Y)",north,ORDER[2],LENGTHUNIT["US survey foot",0.304800609601219]],USAGE[SCOPE["unknown"],AREA["USA - North Carolina"],BBOX[33.83,-84.33,36.59,-75.38]],ID["EPSG",2264]]
mapX,mapY,sourceX,sourceY,enable,dX,dY,residual
1986820.67737819836474955,783810.62565399287268519,1394.95832449570525569,-1308.97182530706277248,1,0,0,0
1986269.25966454669833183,783789.14184696751181036,1246.66751247320780749,-1239.18791376706394658,1,0,0,0
1985843.16415854287333786,783613.69075626018457115,1110.58888497021007424,-1235.69871819006402802,1,0,0,0
1985513.74578415346331894,783542.07806617545429617,1014.63600660271163179,-1211.27434915106437074,1,0,0,0
1985570.64077019924297929,783623.87070307275280356,1028.53358101585604345,-1210.48723457767164291,1,0,0,0
1986273.67857953044585884,783867.80227578827179968,1252.09163612631755313,-1229.33385139518804863,1,0,0,0
1986913.52026623697020113,783864.94909090315923095,1412.56289604348626199,-1309.84331385427276473,1,0,0,0
1985665.32407841109670699,784180.4933428067015484,1156.61769081596912656,-1041.97275253327234168,1,0,0,0
1986876.9329225835390389,783294.64725390705280006,1354.8624295326912943,-1477.45085117001099206,1,0,0,0
1986133.51093698688782752,783046.69728593353647739,1157.09536992959624513,-1450.77288569835695853,1,0,0,0
