Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles
2022,Alameda,Electric,Lucid,Air,18
2022,Contra Costa,Electric,Lucid,Air,7
2022,El Dorado,Electric,Lucid,Air,3
2022,Fresno,Electric,Lucid,Air,1
2022,Kern,Electric,Lucid,Air,2
2022,Los Angeles,Electric,Lucid,Air,66
2022,Marin,Electric,Lucid,Air,2
2022,Monterey,Electric,Lucid,Air,2
2022,Napa,Electric,Lucid,Air,2
2022,Orange,Electric,Lucid,Air,41
2022,Out Of State,Electric,Lucid,Air,1
2022,Placer,Electric,Lucid,Air,8
2022,Riverside,Electric,Lucid,Air,7
2022,Sacramento,Electric,Lucid,Air,5
2022,San Bernardino,Electric,Lucid,Air,2
2022,San Diego,Electric,Lucid,Air,16
2022,San Francisco,Electric,Lucid,Air,9
2022,San Joaquin,Electric,Lucid,Air,2
2022,San Luis Obispo,Electric,Lucid,Air,4
2022,San Mateo,Electric,Lucid,Air,21
2022,Santa Barbara,Electric,Lucid,Air,1
2022,Santa Clara,Electric,Lucid,Air,45
2022,Santa Cruz,Electric,Lucid,Air,1
2022,Solano,Electric,Lucid,Air,3
2022,Sonoma,Electric,Lucid,Air,2
2022,Stanislaus,Electric,Lucid,Air,1
2022,Tulare,Electric,Lucid,Air,1
2022,Ventura,Electric,Lucid,Air,4
2022,Yolo,Electric,Lucid,Air,5
