Location of death (city),State,Latitude,Longitude,Agency or agencies involved,Highest level of force
Ontario,CA,34.0482994,-117.56993,Fontana Police Department,Vehicle
Ontario,CA,34.0482994,-117.56993,Fontana Police Department,Vehicle
Highland,CA,34.1218373,-117.16072,San Bernardino County Sheriff's Office,Vehicle
Highland,CA,34.1218373,-117.16072,San Bernardino County Sheriff's Office,Vehicle
Salinas,CA,36.7443199,-121.65705,Salinas Police Department,Vehicle
Soledad,CA,36.4203388,-121.32273,"Greenfield Police Department, Soledad Police Department",Vehicle
Sacramento,CA,38.468698,-121.41708,Elk Grove Police Department,Vehicle
Olivehurst,CA,39.0918537,-121.55166,Yuba County Sheriff's Office,Vehicle
Olivehurst,CA,39.0918537,-121.55166,Yuba County Sheriff's Office,Vehicle
Los Angeles,CA,34.0633282,-118.31405,Los Angeles Police Department,Vehicle
Redding,CA,40.5710772,-122.35805,Redding Police Department,Vehicle
Sacramento,CA,38.5108711,-121.3349,Sacramento Police Department,Vehicle
Goleta,CA,34.432468,-119.8967,California Highway Patrol,Vehicle
Goleta,CA,34.432468,-119.8967,California Highway Patrol,Vehicle
Goleta,CA,34.432468,-119.8967,California Highway Patrol,Vehicle
Galt,CA,38.336137,-121.33217,Galt Police Department,Vehicle
Chico,CA,39.725624,-121.79656,Chico Police Department,Vehicle
Millbrae,CA,37.6031455,-122.38149,Millbrae Police Department,Vehicle
Ukiah,CA,39.0961293,-123.18818,Ukiah Police Department,Vehicle
Novato,CA,38.0665221,-122.53695,California Highway Patrol,Vehicle
Fontana,CA,34.0703993,-117.4264,Fontana Police Department,Vehicle
Ceres,CA,37.6092359,-120.95704,Ceres Police Department,Vehicle
Clovis,CA,36.8371716,-119.53956,"Clovis Police Department, Fresno County Sheriff's Office",Vehicle
Santa Maria,CA,34.8507666,-120.45313,U.S. Space Force,Vehicle
Los Angeles,CA,34.016217,-118.34068,Los Angeles Police Department,Vehicle
Fontana,CA,30.5279551,-99.852996,California Highway Patrol,Vehicle
San Diego,CA,32.56536,-117.07339,San Diego Police Department,Vehicle
Whittier,CA,34.031877,-118.02264,Los Angeles County Sheriff's Department,Vehicle
Stockton,CA,37.9813642,-121.29984,Stockton Police Department,Vehicle
Fresno,CA,36.7417809,-119.79153,California Highway Patrol,Vehicle
Hayward,CA,37.688823,-122.10764,California Highway Patrol,Vehicle
Inglewood,CA,33.9613158,-118.37186,California Highway Patrol,Vehicle
Inglewood,CA,33.9613158,-118.37186,California Highway Patrol,Vehicle
San Jose,CA,37.3158536,-121.99571,Santa Clara County Sheriff's Office,Vehicle
San Jose,CA,37.3158536,-121.99571,Santa Clara County Sheriff's Office,Vehicle
Bakersfield,CA,35.4126892,-118.96765,California Highway Patrol,Vehicle
Tustin,CA,33.6999162,-117.82081,Tustin Police Department,Vehicle
Santa Cruz,CA,36.988339,-122.00146,California Highway Patrol,Vehicle
Burlingame,CA,37.600196,-122.37693,San Mateo County Sheriff's Office,Vehicle
Vallejo,CA,38.1087219,-122.20311,Vallejo Police Department,Vehicle
Highland,CA,34.1285742,-117.2262,San Bernardino County Sheriff's Office,Vehicle
Industry,CA,34.0197335,-117.95868,"San Bernardino County Sheriff's Office, California Highway Patrol",Vehicle
View Park-Windsor Hills,CA,33.9904755,-118.35378,"Culver City Police Department, Los Angeles County Sheriff's Department",Vehicle
Thornton,CA,38.225198,-121.4304,California Highway Patrol,Vehicle
Thornton,CA,38.225198,-121.4304,California Highway Patrol,Vehicle
Thornton,CA,38.225198,-121.4304,California Highway Patrol,Vehicle
Fresno,CA,36.7651781,-119.75453,Fresno County Sheriff's Office,Vehicle
Fresno,CA,36.7651781,-119.75453,Fresno County Sheriff's Office,Vehicle
